"","Address","nearest_mrt","dist_to_nearest_mrt","mrt_1km"
"3785","248 BANGKIT RD","20 BUKIT PANJANG RING ROAD BANGKIT LRT STATION (BP9) SINGAPORE 679939","0.237376751236053","5"
"3786","110 TECK WHYE LANE","10 CHOA CHU KANG WAY TECK WHYE LRT STATION (BP4) SINGAPORE 688267","0.256914630092356","4"
"3787","205 CHOA CHU KANG CTRL","30 CHOA CHU KANG WAY KEAT HONG LRT STATION (BP3) SINGAPORE 688266","0.26448237820622","5"
"3788","236 CHOA CHU KANG CTRL","30 CHOA CHU KANG WAY KEAT HONG LRT STATION (BP3) SINGAPORE 688266","0.164574941028108","5"
"3789","127 HOUGANG AVE 1","900 UPPER SERANGOON ROAD KOVAN MRT STATION (NE13) SINGAPORE 534799","0.811289117115379","1"
"3790","541 HOUGANG AVE 8","10 SENGKANG CENTRAL BUANGKOK MRT STATION (NE15) SINGAPORE 545061","0.636305748542268","2"
"3791","904 JURONG WEST ST 91","50 NANYANG AVENUE OCBC NANYANG TECHNOLOGICAL UNIVERSITY (NS3-01-10) SINGAPORE 639798","0.600599862721134","1"
"3792","949 JURONG WEST ST 91","31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310","0.896138579111376","1"
"3793","813 JURONG WEST ST 81","31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310","0.952153890685082","1"
"3794","472 PASIR RIS DR 6","20 TAMPINES AVENUE 7 TAMPINES EAST MRT STATION (DT33) SINGAPORE 529623","2.02226835899693","0"
"3795","455 PASIR RIS DR 6","20 TAMPINES AVENUE 7 TAMPINES EAST MRT STATION (DT33) SINGAPORE 529623","1.78346818405442","0"
"3796","253 SERANGOON CTRL DR","21 SERANGOON CENTRAL SERANGOON MRT STATION (CC13) SINGAPORE 556082","0.435203487837176","3"
"3797","254 SERANGOON CTRL DR","21 SERANGOON CENTRAL SERANGOON MRT STATION (CC13) SINGAPORE 556082","0.419197794313599","3"
"3798","850 TAMPINES ST 82","15 TAMPINES CENTRAL 1 TAMPINES MRT STATION (DT32) SINGAPORE 529544","0.818269594118389","2"
