"","X","lat","long","postal","x","y","address"
"406",422,1.3394520043632,103.706685012926,648886,13907.0305282837,35735.67771223,"1 JURONG WEST CENTRAL 2 GOLDEN VILLAGE (GV JURONG POINT) SINGAPORE 648886"
"407",423,1.33484487471259,103.720462024278,610399,15440.244104865,35226.1689937133,"399 YUNG SHENG ROAD DBS NTUC TAMAN JURONG SHOPPING CENTRE SINGAPORE 610399"
"408",424,1.32554465969069,103.725574633362,618642,16009.1798929656,34197.771538794,"3 YUAN CHING ROAD SINGAPORE 618642"
"409",425,1.33221398206902,103.722691571538,610063,15688.3566696523,34935.2465429399,"63 YUNG KUANG ROAD SINGAPORE 610063"
"410",426,1.33931504032005,103.705350996191,648331,13758.5676118182,35720.5406027697,"63 JURONG WEST CENTRAL 3 BOON LAY BUS INTERCHANGE SINGAPORE 648331"
"411",427,1.32882041921836,103.677161735755,638368,10621.3216701848,34560.276651144,"555 UPPER JURONG ROAD DBS JURONG APARTMENTS SINGAPORE 638368"
"412",428,1.34551210586754,103.731219146294,600345,16637.4499490103,36405.6463955082,"345 JURONG EAST STREET 31 YUHUA PLACE SINGAPORE 600345"
"413",429,1.35239358298744,103.71575950591,640544,14916.9955680873,37166.6440421268,"544 JURONG WEST STREET 42 SINGAPORE 640544"
"414",430,1.34833335760515,103.724307319237,640498,15868.2522515813,36717.6398426108,"498 JURONG WEST STREET 41 SINGAPORE 640498"
"415",431,1.34639604683977,103.712387709421,640221,14541.7189708119,36503.4840812515,"221 BOON LAY PLACE RAINBOW CHILDCARE PTE LTD SINGAPORE 640221"
"416",432,1.35151847519437,103.719496480131,640442,15332.8748494405,37069.8590768576,"442 JURONG WEST AVENUE 1 SINGAPORE 640442"
"417",433,1.34994543559348,103.725180466645,640492,15965.4319416275,36895.8911768589,"492 JURONG WEST STREET 41 SINGAPORE 640492"
"418",434,1.33382294191646,103.739755036969,600135,17587.3527455926,35113.0786353461,"135 JURONG GATEWAY ROAD DBS NTUC JURONG EAST STREET 13 SINGAPORE 600135"
"419",435,1.33415752008876,103.742766489597,608532,17922.4976891531,35150.0620858073,"3 GATEWAY DRIVE OCBC WESTGATE SINGAPORE 608532"
"420",436,1.33186505450509,103.744881694882,608521,18157.8890441358,34896.5641202852,"1 VENTURE AVENUE PERENNIAL BUSINESS CITY SINGAPORE 608521"
"421",437,1.3325523295069,103.743262234833,608549,17977.6625120724,34972.5660890918,"50 JURONG GATEWAY ROAD DBS NTUC JEM SINGAPORE 608549"
"422",438,1.33658465311802,103.737623303842,600104,17350.1247293577,35418.4640670475,"104 JURONG EAST STREET 13 JURONG EAST VILLE SINGAPORE 600104"
"423",439,1.33875930729064,103.778600077834,588996,21910.4149615103,35658.7866516709,"1 JALAN ANAK BUKIT BUKIT TIMAH PLAZA SINGAPORE 588996"
"424",440,1.33491758755437,103.746877132868,609601,18379.9726865934,35234.0900947843,"2 JURONG EAST STREET 21 DBS IMM EBC SINGAPORE 609601"
"425",441,1.34670228583941,103.757242525171,650284,19533.5734745516,36537.1447729953,"284 BUKIT BATOK EAST AVENUE 3 PRO-TEACH EDUCATION (BUKIT BATOK EAST) SINGAPORE 650284"
"426",442,1.34241264188642,103.776539385406,588177,21681.0911870794,36062.7591135893,"144 UPPER BUKIT TIMAH ROAD DBS BEAUTY WORLD CENTRE SINGAPORE 588177"
"427",443,1.33649931598315,103.751872040825,608596,18935.8597955732,35408.9707258306,"28 TOH GUAN ROAD EAST WESTLITE TOH GUAN DORMITORY SINGAPORE 608596"
"428",444,1.33833282914969,103.753535227945,608568,19120.9616825767,35611.7053478211,"19 TOH GUAN ROAD EAST TOH GUAN DORMITORY SINGAPORE 608568"
"429",445,1.34762239826035,103.757150072517,650280,19523.2876872532,36638.8865140844,"280 BUKIT BATOK EAST AVENUE 3 DBS NTUC BUKIT BATOK EAST AVENUE 3 SINGAPORE 650280"
"430",446,1.33683097553159,103.754341430783,608586,19210.6781958779,35445.635000404,"48 TOH GUAN ROAD EAST UOB ENTERPRISE HUB SINGAPORE 608586"
"431",448,1.34201963211059,103.775064204593,599601,21516.9184606317,36019.3059421442,"14 CHUN TIN ROAD SINGAPORE 599601"
"432",449,1.34857537953675,103.742708636413,650159,17916.1182575645,36744.3174683675,"159 BUKIT BATOK STREET 11 SINGAPORE 650159"
"433",450,1.34976579038656,103.749206181636,658713,18639.2280766387,36875.9212087058,"1 BUKIT BATOK CENTRAL LINK BUKIT BATOK PUBLIC LIBRARY SINGAPORE 658713"
"434",451,1.34903331201636,103.749566478309,659958,18679.3223191258,36794.9260214306,"10 BUKIT BATOK CENTRAL BUKIT BATOK MRT STATION (NS2) SINGAPORE 659958"
"435",453,1.38001805825626,103.753148377762,680140,19078.0623546988,40221.0513552036,"140 TECK WHYE LANE SINGAPORE 680140"
"436",454,1.35831705249927,103.749579868748,650376,18680.8479768448,37821.4757067487,"376 BUKIT BATOK STREET 31 SINGAPORE 650376"
"437",455,1.38079049641025,103.75195441174,680142,18945.191747901,40306.4682408813,"142 TECK WHYE LANE SINGAPORE 680142"
"438",456,1.35894637289694,103.750365800657,650373,18768.3155789552,37891.0598036274,"373 BUKIT BATOK STREET 31 LITTLE GREENHOUSE @ BUKIT BATOK PTE LTD SINGAPORE 650373"
"439",457,1.37829768797221,103.754071398872,680018,19180.7767574433,40030.8179250453,"18 TECK WHYE LANE TECK WHYE HEIGHTS III SINGAPORE 680018"
