"","address","lat","long","postal","x","y"
"48","EW21",1.3072237082044,103.790253514502,139345,23207.2578019593,32171.7150982097
"49","EW22",1.31140529320963,103.778637841909,138677,21914.5509301452,32634.1186314393
"50","EW23",1.31511625277378,103.765191452888,129580,20418.1055078562,33044.4944669213
"51","EW24",1.33315281585758,103.742286332403,609690,17869.0570516568,35038.9688695427
"52","EW25",1.34235282081401,103.732596738363,609959,16790.7466322081,36056.3018932827
"53","EW26",1.34425911493819,103.720949087456,649845,15494.4969534362,36267.1470333859
"54","EW27",1.33860405469845,103.706064622772,649846,13837.9827195406,35641.9191215802
"55","EW28",1.33758701106708,103.697321608474,648310,12864.9698331021,35529.5115483906
"56","EW29",1.3277170408447,103.678374996165,629116,10756.3379743481,34438.2617777772
"57","EW30",1.31947090075208,103.660530461345,637288,8770.35150132887,33526.5733700171
"58","EW31",1.32102695598684,103.649078235627,639608,7495.83786702435,33698.7263109088
"59","EW32",1.32998504653102,103.639616648771,639609,6442.92861192208,34689.3517738562
"60","EW33",1.34088242451105,103.636991425128,638418,6150.86278806347,35894.3582222275
"61","CG1",1.33454977824817,103.961548211018,486065,42270.6232344816,35193.6223453786
"62","CG2",1.35747897447692,103.98788356959,819661,45201.320394692,37729.1933764666
"63","NE1",1.26538938374901,103.821530157095,98867,26688.0367021402,27545.8534260485
"64","NE3",1.27972059383553,103.839439862425,59816,28681.2492930563,29130.5222722683
"65","NE4",1.28435959278583,103.843426681863,59443,29124.9480295833,29643.4802091382
"66","NE5",1.28838602407588,103.846555209694,59815,29473.1249443376,30088.7037861496
"67","NE6",1.29970458121203,103.845488542541,238889,29354.4079191377,31340.2508916464
"68","NE7",1.30680019696174,103.849647059738,229900,29817.2085683132,32124.850180177
"69","NE8",1.31190557325774,103.853477716509,218703,30243.5206485614,32689.3795552086
"70","NE9",1.31933570922514,103.861569454156,328260,31144.045013207,33510.9746132698
"71","NE10",1.33137949021368,103.869055656782,347694,31977.1667550961,34842.7250955887
"72","NE11",1.33919004519388,103.87081830915,347695,32173.3185749156,35706.3793633711
"73","NE12",1.34970788089564,103.873574849884,534801,32480.0729367165,36869.3930099793
"74","NE13",1.36017917065237,103.885064856353,534799,33758.7578018578,38027.2794417515
"75","NE14",1.37129226620797,103.892380513029,538758,34572.8752453458,39256.1282835789
"76","NE15",1.38287001971672,103.893122569706,545061,34655.4250568021,40536.3401684985
"77","NE16",1.39169462601522,103.895484694279,545062,34918.2740132138,41512.1276907362
