"","address","lat","long","postal","x","y"
"47","568226",1.36717874094695,103.840157741978,568226,28761.1168768676,38801.1956454292
"48","600254",1.34348818520494,103.73773841183,600254,17362.9648318021,36181.8218899667
"49","330029",1.31921667890113,103.863020922593,330029,31305.579370317,33497.8147295769
"50","570320",1.35200745374218,103.837031862103,570320,28413.2464859849,37123.6313001141
"51","560341",1.36384516921846,103.84806729788,560341,29641.3579089241,38432.59020257
"52","600347",1.34541698312776,103.731703838354,600347,16691.390492525,36395.1259405315
"53","120353",1.31437328536733,103.770805494512,120353,21042.8925967468,32962.3245489281
"54","090036",1.27260703348585,103.822028389533,90036,26743.489736801,28343.9435181376
"55","601037",1.32083109341424,103.742748119105,601037,17920.3992703771,33676.492388377
"56","560409",1.36272174657669,103.855350672118,560409,30451.9124475131,38308.3740295526
"57","270044",1.30811780015992,103.792773769341,270044,23487.7404316654,32270.5745402798
"58","120448",1.31331969319644,103.764517192874,120448,20343.061339126,32845.8420576267
"59","561453",1.3682477887765,103.856361649863,561453,30564.4165150356,38919.4167297166
"60","380049",1.31703502375324,103.879309854774,380049,33118.3824592084,33256.6059891954
"61","402004",1.32033126010096,103.904256478426,402004,35894.6902620094,33621.1522532944
"62","432004",1.30236034827101,103.883909473726,432004,33630.3082578331,31633.9651401658
"63","731004",1.29964188181031,103.80010216304,148812,24303.3101027,31333.3389857
"64","120502",1.31190695723944,103.759128018939,120502,19743.2926759291,32689.6460042689
"65","120503",1.31180308926424,103.759751405542,120503,19812.6694068518,32678.1587596238
"66","640505",1.34965729130746,103.718443677825,640505,15215.6998569388,36864.06396823
"67","441050",1.30572973591916,103.915737035334,441050,37172.4173270743,32006.62849053
"68","390051",1.30810982136012,103.885731681696,390051,33833.0903097549,32269.7166850865
"69","460511",1.33321993297265,103.930581522776,460511,38824.3551326348,35046.416730687
"70","560527",1.37277209302753,103.854457955288,560527,30352.5537955873,39419.6893546097
"71","460538",1.3320672771228,103.924621314971,460538,38161.0500670448,34918.9363977704
"72","461058",1.32420087334002,103.941125277547,461058,39997.8103255853,34049.1824351028
"73","081006",1.27661464758769,103.843167023188,81006,29096.0534556275,28787.0840827785
"74","560628",1.38098761665454,103.840628087484,560628,28813.4560321672,40328.11105996
"75","470630",1.33277279217212,103.914190840298,470630,37000.2427445753,34996.9081766885
