"","Address","nearest_primary_schools","dist_to_nearest_primary_schools","primary_schools_1km"
"6341","10 JLN BT HO SWEE","2 RIVER VALLEY GREEN RIVER VALLEY PRIMARY SCHOOL SINGAPORE 237993","0.83016950930284","2"
"6342","504 JELAPANG RD","11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744","0.160568596807498","5"
"6343","512 JELAPANG RD","11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744","0.168586535186737","5"
"6344","150 JLN TECK WHYE","11 TECK WHYE WALK SHG STUDENT CARE (TECK WHYE PRIMARY SCHOOL) SINGAPORE 688261","0.692327806847641","2"
"6345","443 CHOA CHU KANG AVE 4","3 CHOA CHU KANG AVENUE 4 CONCORD PRIMARY SCHOOL SINGAPORE 689814","0.203723735220983","2"
"6346","156 JLN TECK WHYE","11 TECK WHYE WALK SHG STUDENT CARE (TECK WHYE PRIMARY SCHOOL) SINGAPORE 688261","0.637835642562419","2"
"6347","168 HOUGANG AVE 1","298 LORONG AH SOO COMMIT LEARNING SCHOOLHOUSE @ PAYA LEBAR METHODIST GIRLS' SCHOOL SINGAPORE 536741","0.563041680631542","2"
"6348","171 HOUGANG AVE 1","298 LORONG AH SOO COMMIT LEARNING SCHOOLHOUSE @ PAYA LEBAR METHODIST GIRLS' SCHOOL SINGAPORE 536741","0.49091390840521","2"
"6349","923 HOUGANG AVE 9","1 HOUGANG STREET 93 YMCA STUDENT CARE CENTRE @ HOUGANG SINGAPORE 534238","0.26179426237089","5"
"6350","160 HOUGANG ST 11","298 LORONG AH SOO COMMIT LEARNING SCHOOLHOUSE @ PAYA LEBAR METHODIST GIRLS' SCHOOL SINGAPORE 536741","0.671564658078501","1"
"6351","922 HOUGANG ST 91","1 HOUGANG STREET 51 YIO CHU KANG PRIMARY SCHOOL SINGAPORE 538720","0.293408632930942","4"
"6352","165 HOUGANG AVE 1","298 LORONG AH SOO COMMIT LEARNING SCHOOLHOUSE @ PAYA LEBAR METHODIST GIRLS' SCHOOL SINGAPORE 536741","0.341101625400364","2"
"6353","368 CORPORATION DR","161 CORPORATION WALK WHEE!CANOPUS STUDENT CARE @ LAKESIDE PRIMARY SCHOOL SINGAPORE 618310","0.201989927747369","2"
"6354","694 JURONG WEST CTRL 1","20 BOON LAY DRIVE BOON LAY GARDEN PRIMARY SCHOOL SINGAPORE 649930","0.693240279212732","5"
