"","address","lat","long"
"83","254 ANG MO KIO AVE 4",1.37020344042146,103.834687722549
"84","103 ANG MO KIO AVE 3",1.37101657804604,103.839304839187
"85","105 ANG MO KIO AVE 4",1.37231328287072,103.837601112788
"86","344 ANG MO KIO AVE 3",1.36797705108684,103.849264839398
"87","324 ANG MO KIO AVE 3",1.36833392201705,103.846879231399
"88","120 ANG MO KIO AVE 3",1.37004739686133,103.844594754874
"89","124 ANG MO KIO AVE 6",1.37089179310251,103.844768276408
"90","414 ANG MO KIO AVE 10",1.36390466431674,103.853913839503
"91","438 ANG MO KIO AVE 10",1.3669708169506,103.853906591778
"92","427 ANG MO KIO AVE 3",1.36931185924705,103.854550605629
"93","428 ANG MO KIO AVE 3",1.36893906457102,103.854412288513
"94","473 ANG MO KIO AVE 10",1.36305380914637,103.856846002568
