"","address","lat","long","postal","x","y"
"20","129 ANG MO KIO AVE 3",1.36989498895756,103.842059049722,560129,28972.7085465211,39101.545211073
"21","130 ANG MO KIO AVE 3",1.37039791675237,103.841878840032,560130,28952.653192386,39157.1563354116
"22","128 ANG MO KIO AVE 3",1.37083202800001,103.843546990613,560128,29138.2979054097,39205.1588756125
"23","127 ANG MO KIO AVE 3",1.37122322102767,103.843593321222,560127,29143.4537537564,39248.4150327519
"24","126 ANG MO KIO AVE 3",1.37164990020956,103.843644176374,560126,29149.1131100124,39295.5950707626
"25","403 ANG MO KIO AVE 10",1.36126901451361,103.854642365822,560403,30373.0877168132,38147.7376024462
"26","404 ANG MO KIO AVE 10",1.36167767060852,103.854726492538,560404,30382.4496344449,38192.9247964099
"27","405 ANG MO KIO AVE 10",1.36157912717139,103.853805386957,560405,30279.9414777411,38182.0274747685
"28","417 ANG MO KIO AVE 10",1.36495953274783,103.855197097728,560417,30434.8191788001,38555.8168849312
"29","418 ANG MO KIO AVE 10",1.3649460137791,103.854043379775,560418,30306.424086879,38554.3208898362
"30","419 ANG MO KIO AVE 10",1.36534669720177,103.85415182597,560419,30318.4924768107,38598.6265287735
"31","441 ANG MO KIO AVE 10",1.36605027829032,103.854168309853,560441,30320.3262626035,38676.4249629509
"32","442 ANG MO KIO AVE 10",1.36565326940253,103.855232195496,560442,30438.7244448634,38632.5267916098
"33","443 ANG MO KIO AVE 10",1.36604388871674,103.855368968681,560443,30453.9452755675,38675.7196281254
"34","444 ANG MO KIO AVE 10",1.36660045321147,103.855578790668,560444,30477.2953905342,38737.2619152144
"35","450 ANG MO KIO AVE 10",1.36848406233048,103.855468149019,560450,30464.9803770706,38945.5417226274
"36","435 ANG MO KIO AVE 10",1.36770367834269,103.854214313011,560435,30325.4442759706,38859.2495776638
"37","433 ANG MO KIO AVE 10",1.36807652285135,103.854353042615,560433,30340.8828545492,38900.4769626576
"38","434 ANG MO KIO AVE 10",1.3678915069194,103.85345502653,560434,30240.9446312711,38880.0179849602
"39","424 ANG MO KIO AVE 3",1.36860660305158,103.850808805402,560424,29946.4514361909,38959.0873717722
"40","425 ANG MO KIO AVE 3",1.36912241721255,103.851616057064,560425,30036.2883857982,39016.1241484135
"41","466 ANG MO KIO AVE 10",1.36581960538764,103.857061606231,560466,30642.3158929367,38650.9213112108
"42","471 ANG MO KIO AVE 10",1.36346600647245,103.856702918462,560471,30602.400746109,38390.6719205808
"43","474 ANG MO KIO AVE 10",1.36275784702216,103.858015323667,560474,30748.4567525107,38312.3687072396
"44","570 ANG MO KIO AVE 3",1.3697435855576,103.856023138277,560570,30526.7426821338,39084.8139777128
"45","586 ANG MO KIO AVE 3",1.37030352965928,103.853455898206,560586,30241.039400328,39146.7271989435
"46","465 ANG MO KIO AVE 10",1.3662010408294,103.857200967235,560465,30657.8246932384,38693.0986568723
"47","463 ANG MO KIO AVE 10",1.36694793518613,103.857487648675,560463,30689.7280863831,38775.686757328
"48","564 ANG MO KIO AVE 3",1.36984837555524,103.859404131956,560564,30903.0062578218,39096.404950738
"49","560 ANG MO KIO AVE 10",1.37081626777721,103.859192334256,560560,30879.4345812146,39203.4293024875
"50","558 ANG MO KIO AVE 10",1.37123613284274,103.859192016193,560558,30879.3986833859,39249.8558493126
"51","559 ANG MO KIO AVE 10",1.37099810674697,103.857856391877,560559,30730.7602126142,39223.5345685277
"52","538 ANG MO KIO AVE 5",1.37559336678106,103.853347801104,560538,30229.0046078581,39731.6504149698
"53","534 ANG MO KIO AVE 10",1.37405846295585,103.854168170426,560534,30320.30304706,39561.9293249641
"54","601 ANG MO KIO AVE 5",1.38104135523576,103.835131742647,560601,28201.7822445426,40334.0520295352
"55","603 ANG MO KIO AVE 5",1.38020079047279,103.83575571651,560603,28271.2227501068,40241.1067093387
"56","604 ANG MO KIO AVE 5",1.37986658053966,103.835976650638,560604,28295.8099781042,40204.1514989082
"57","608 ANG MO KIO AVE 5",1.37858209980487,103.836760311526,560608,28383.0217854837,40062.1202565692
"58","611 ANG MO KIO AVE 5",1.37829205312001,103.837251895809,560611,28437.7290170258,40030.0484523624
"59","505 ANG MO KIO AVE 8",1.3748597302123,103.850224901404,560505,29881.4650763059,39650.5259228665
"60","503 ANG MO KIO AVE 5",1.37546163119278,103.848942047568,560503,29738.6988365194,39717.0801037718
