"","Address","nearest_mrt","dist_to_nearest_mrt","mrt_1km"
"5809","350 CORPORATION DR","201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845","0.653872167269019","1"
"5810","691 JURONG WEST CTRL 1","301 BOON LAY WAY BOON LAY MRT STATION (EW27) SINGAPORE 649846","0.353586788560365","1"
"5811","913 JURONG WEST ST 91","50 NANYANG AVENUE OCBC NANYANG TECHNOLOGICAL UNIVERSITY (NS3-01-10) SINGAPORE 639798","0.614568744691898","1"
"5812","272B JURONG WEST ST 24","301 BOON LAY WAY BOON LAY MRT STATION (EW27) SINGAPORE 649846","1.33329966865574","0"
"5813","849 JURONG WEST ST 81","50 NANYANG AVENUE OCBC NANYANG TECHNOLOGICAL UNIVERSITY (NS3-01-10) SINGAPORE 639798","0.999577843495727","1"
"5814","675A JURONG WEST ST 64","301 BOON LAY WAY BOON LAY MRT STATION (EW27) SINGAPORE 649846","0.812647816912449","1"
"5815","667C JURONG WEST ST 65","301 BOON LAY WAY BOON LAY MRT STATION (EW27) SINGAPORE 649846","0.506111402580618","2"
"5816","986A JURONG WEST ST 93","31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310","0.251340849126246","1"
"5817","987B JURONG WEST ST 93","31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310","0.304346638106641","1"
"5818","989A JURONG WEST ST 93","31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310","0.355233477152329","1"
"5819","529 JURONG WEST ST 52","201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845","0.703228132743959","1"
"5820","682B JURONG WEST CTRL 1","301 BOON LAY WAY BOON LAY MRT STATION (EW27) SINGAPORE 649846","0.560376229874594","1"
"5821","405 JURONG WEST ST 42","201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845","1.11032386499788","0"
"5822","859 JURONG WEST ST 81","31 JURONG WEST STREET 63 PIONEER MRT STATION (EW28) SINGAPORE 648310","1.3032305916749","0"
"5823","331 TAH CHING RD","201 BOON LAY WAY LAKESIDE MRT STATION (EW26) SINGAPORE 649845","0.741847403320393","1"
