"","Address","nearest_primary_schools","dist_to_nearest_primary_schools","primary_schools_1km"
"98","765 BEDOK RESERVOIR VIEW","350 BEDOK NORTH AVENUE 3 RED SWASTIKA WELFARE CLINIC SINGAPORE 469719","0.303210219877515","4"
"99","10 CHAI CHEE RD","307 BEDOK NORTH ROAD MOE KINDERGARTEN @ FENGSHAN SINGAPORE 469680","0.845730495039871","3"
"100","185 BEDOK NTH RD","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.451920243164252","2"
"101","111 LENGKONG TIGA","50 BEDOK RESERVOIR ROAD TELOK KURAU PRIMARY SCHOOL SINGAPORE 479239","0.778885497949594","2"
"102","220B BEDOK CTRL","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.453347749006068","4"
"103","603 BEDOK RESERVOIR RD","50 BEDOK RESERVOIR ROAD TELOK KURAU PRIMARY SCHOOL SINGAPORE 479239","0.20615571027217","1"
"104","21 CHAI CHEE RD","48 FIDELIO STREET OPERA ESTATE PRIMARY SCHOOL SINGAPORE 458436","0.73489102057716","2"
"105","672 JLN DAMAI","50 BEDOK RESERVOIR ROAD TELOK KURAU PRIMARY SCHOOL SINGAPORE 479239","0.268186115291456","2"
"106","415 BEDOK NTH AVE 2","307 BEDOK NORTH ROAD MOE KINDERGARTEN @ FENGSHAN SINGAPORE 469680","0.194226224358002","3"
"107","763 BEDOK RESERVOIR VIEW","350 BEDOK NORTH AVENUE 3 RED SWASTIKA WELFARE CLINIC SINGAPORE 469719","0.269280087630364","4"
"108","805 CHAI CHEE RD","48 FIDELIO STREET OPERA ESTATE PRIMARY SCHOOL SINGAPORE 458436","0.605078902467061","2"
"109","723 BEDOK RESERVOIR RD","56 BEDOK NORTH STREET 3 BIG HEART STUDENT CARE @ YU NENG SINGAPORE 469623","0.474507224395075","4"
"110","722 BEDOK RESERVOIR RD","56 BEDOK NORTH STREET 3 BIG HEART STUDENT CARE @ YU NENG SINGAPORE 469623","0.516706785802237","4"
"111","219C BEDOK CTRL","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","0.509917178642665","3"
"112","640 BEDOK RESERVOIR RD","10 UBI AVENUE 1 AFTER SCHOOL @ MAHA BODHI SCHOOL SINGAPORE 408931","0.564185521079832","2"
"113","160 BEDOK STH AVE 3","501 BEDOK SOUTH AVENUE 3 NASCANS @ TEMASEK SINGAPORE 469300","0.178478888678881","2"
"114","94C BEDOK NTH AVE 4","1602 BEDOK NORTH AVENUE 4 YMCA STUDENT CARE CENTRE @ ST ANTHONY'S CANOSSIAN SINGAPORE 469701","0.289501996995094","2"
"115","22 SIN MING RD","9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767","0.673020369675385","2"
"116","407 SIN MING AVE","100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646","0.346007125600574","2"
"117","105 BISHAN ST 12","8 BISHAN STREET 13 YMCA STUDENT CARE CENTRE @ KUO CHUAN SINGAPORE 579793","0.865853824171541","2"
"118","167 BISHAN ST 13","8 BISHAN STREET 13 YMCA STUDENT CARE CENTRE @ KUO CHUAN SINGAPORE 579793","0.162581668305146","3"
"119","111 BISHAN ST 12","8 BISHAN STREET 13 YMCA STUDENT CARE CENTRE @ KUO CHUAN SINGAPORE 579793","0.746116478254833","2"
"120","181 BISHAN ST 13","8 BISHAN STREET 13 YMCA STUDENT CARE CENTRE @ KUO CHUAN SINGAPORE 579793","0.174364982766628","1"
"121","166 BISHAN ST 13","8 BISHAN STREET 13 YMCA STUDENT CARE CENTRE @ KUO CHUAN SINGAPORE 579793","0.090996172515019","3"
"122","109 BISHAN ST 12","8 BISHAN STREET 13 YMCA STUDENT CARE CENTRE @ KUO CHUAN SINGAPORE 579793","0.765312376991076","2"
"123","115 BISHAN ST 12","8 BISHAN STREET 13 YMCA STUDENT CARE CENTRE @ KUO CHUAN SINGAPORE 579793","0.647902088904627","2"
"124","260 BISHAN ST 22","9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767","0.621159517583145","1"
"125","275A BISHAN ST 24","9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767","0.270031938974734","1"
"126","214 BISHAN ST 23","9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767","0.491916241465283","3"
"127","182 BISHAN ST 13","8 BISHAN STREET 13 YMCA STUDENT CARE CENTRE @ KUO CHUAN SINGAPORE 579793","0.197429076993241","1"
"128","448 BRIGHT HILL DR","100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646","0.300009537438297","1"
"129","402 SIN MING AVE","100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646","0.245014910134636","1"
"130","128 BISHAN ST 12","8 BISHAN STREET 13 YMCA STUDENT CARE CENTRE @ KUO CHUAN SINGAPORE 579793","0.556558632953968","2"
"131","303 SHUNFU RD","9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767","0.900604366311069","1"
"132","231 BISHAN ST 23","9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767","0.305626791441261","2"
"133","134 BISHAN ST 12","8 BISHAN STREET 13 YMCA STUDENT CARE CENTRE @ KUO CHUAN SINGAPORE 579793","0.489296030026415","3"
"134","342 BT BATOK ST 34","30 BUKIT BATOK STREET 32 YMCA STUDENT CARE CENTRE @ ST ANTHONY'S SINGAPORE 659401","0.191140289929466","2"
"135","530 BT BATOK ST 51","2 BUKIT BATOK STREET 52 PRO-TEACH SCHOOLCARE (LIANHUA) PTE LTD SINGAPORE 659243","0.405873072503227","3"
"136","145 BT BATOK ST 11","30 BUKIT BATOK WEST AVENUE 3 BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL) SINGAPORE 659163","0.34563789599721","2"
"137","528 BT BATOK ST 51","35 BUKIT BATOK STREET 31 DAZHONG PRIMARY SCHOOL SINGAPORE 659441","0.405228161978258","3"
"138","537 BT BATOK ST 52","2 BUKIT BATOK STREET 52 PRO-TEACH SCHOOLCARE (LIANHUA) PTE LTD SINGAPORE 659243","0.377144666686986","2"
"139","213 BT BATOK ST 21","18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634","0.16826013533287","3"
"140","219 BT BATOK ST 21","18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634","0.210934302674021","3"
"141","235 BT BATOK EAST AVE 5","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.383022727261092","3"
"142","130 BT BATOK WEST AVE 6","30 BUKIT BATOK WEST AVENUE 3 BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL) SINGAPORE 659163","0.608539767797569","3"
"143","212 BT BATOK ST 21","18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634","0.219093023070623","3"
"144","346 BT BATOK ST 34","30 BUKIT BATOK STREET 32 YMCA STUDENT CARE CENTRE @ ST ANTHONY'S SINGAPORE 659401","0.237936037915475","2"
"145","226 BT BATOK CTRL","18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634","0.324457991412273","3"
"146","247 BT BATOK EAST AVE 5","90 BUKIT BATOK EAST AVENUE 6 KNOWLEDGE PARK EDUCARE PTE LTD (KEMING PRIMARY SCHOOL) SINGAPORE 659762","0.554058792366791","3"
"147","169 BT BATOK WEST AVE 8","30 BUKIT BATOK WEST AVENUE 3 BIG HEART STUDENT CARE (PRINCESS ELIZABETH PRIMARY SCHOOL) SINGAPORE 659163","0.288387811284368","3"
